herb,ingredient
Rhodiolae roseae radix,Rhodiolae_roseae_radix_ing_91
Rhodiolae roseae radix,Rhodiolae_roseae_radix_ing_97
Rhodiolae roseae radix,Rhodiolae_roseae_radix_ing_7
Rhodiolae roseae radix,Rhodiolae_roseae_radix_ing_63
Rhodiolae roseae radix,Rhodiolae_roseae_radix_ing_20
Hyperici perforati herba,Hyperici_perforati_herba_ing_16
Hyperici perforati herba,Hyperici_perforati_herba_ing_57
Hyperici perforati herba,Hyperici_perforati_herba_ing_79
Hyperici perforati herba,Hyperici_perforati_herba_ing_28
Hyperici perforati herba,Hyperici_perforati_herba_ing_21
Hyperici perforati herba,Hyperici_perforati_herba_ing_77
Hyperici perforati herba,Hyperici_perforati_herba_ing_88
Hyperici perforati herba,Hyperici_perforati_herba_ing_85
Albiziae flos,Albiziae_flos_ing_19
Albiziae flos,Albiziae_flos_ing_77
Albiziae flos,Albiziae_flos_ing_70
Albiziae flos,Albiziae_flos_ing_4
Albiziae flos,Albiziae_flos_ing_74
Albiziae flos,Albiziae_flos_ing_67
Albiziae flos,Albiziae_flos_ing_61
Albiziae flos,Albiziae_flos_ing_53
Albiziae flos,Albiziae_flos_ing_41
Atractylodis rhizoma,Atractylodis_rhizoma_ing_85
Atractylodis rhizoma,Atractylodis_rhizoma_ing_98
Atractylodis rhizoma,Atractylodis_rhizoma_ing_17
Atractylodis rhizoma,Atractylodis_rhizoma_ing_81
Atractylodis rhizoma,Atractylodis_rhizoma_ing_15
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_54
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_96
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_54
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_39
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_70
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_30
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_85
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_76
Salviae miltiorrhizae radix,Salviae_miltiorrhizae_radix_ing_59
Ginseng radix,Ginseng_radix_ing_20
Ginseng radix,Ginseng_radix_ing_44
Ginseng radix,Ginseng_radix_ing_41
Ginseng radix,Ginseng_radix_ing_30
Ginseng radix,Ginseng_radix_ing_91
Ginseng radix,Ginseng_radix_ing_4
Ginseng radix,Ginseng_radix_ing_38
Ginseng radix,Ginseng_radix_ing_24
Ginseng radix,Ginseng_radix_ing_80
Ginseng radix,Ginseng_radix_ing_82
Ginseng radix,Ginseng_radix_ing_37
Ginseng radix,Ginseng_radix_ing_33
Ginseng radix,Ginseng_radix_ing_46
Ginseng radix,Ginseng_radix_ing_100
Ginseng radix,Ginseng_radix_ing_64
Epimedii herba,Epimedii_herba_ing_25
Epimedii herba,Epimedii_herba_ing_81
Epimedii herba,Epimedii_herba_ing_5
Epimedii herba,Epimedii_herba_ing_70
Epimedii herba,Epimedii_herba_ing_62
Epimedii herba,Epimedii_herba_ing_10
Epimedii herba,Epimedii_herba_ing_93
Epimedii herba,Epimedii_herba_ing_34
Epimedii herba,Epimedii_herba_ing_48
Epimedii herba,Epimedii_herba_ing_80
Epimedii herba,Epimedii_herba_ing_39
Epimedii herba,Epimedii_herba_ing_31
Epimedii herba,Epimedii_herba_ing_76
Epimedii herba,Epimedii_herba_ing_63
Epimedii herba,Epimedii_herba_ing_47
Morindae officinalis radix,Morindae_officinalis_radix_ing_46
Morindae officinalis radix,Morindae_officinalis_radix_ing_16
Morindae officinalis radix,Morindae_officinalis_radix_ing_43
Morindae officinalis radix,Morindae_officinalis_radix_ing_98
Morindae officinalis radix,Morindae_officinalis_radix_ing_77
Morindae officinalis radix,Morindae_officinalis_radix_ing_17
Morindae officinalis radix,Morindae_officinalis_radix_ing_31
Morindae officinalis radix,Morindae_officinalis_radix_ing_61
Morindae officinalis radix,Morindae_officinalis_radix_ing_6
Morindae officinalis radix,Morindae_officinalis_radix_ing_14
Morindae officinalis radix,Morindae_officinalis_radix_ing_17
Morindae officinalis radix,Morindae_officinalis_radix_ing_77
Morindae officinalis radix,Morindae_officinalis_radix_ing_84
Morindae officinalis radix,Morindae_officinalis_radix_ing_52
Morindae officinalis radix,Morindae_officinalis_radix_ing_20
Cuscutae semen,Cuscutae_semen_ing_72
Cuscutae semen,Cuscutae_semen_ing_72
Cuscutae semen,Cuscutae_semen_ing_55
Cuscutae semen,Cuscutae_semen_ing_40
Cuscutae semen,Cuscutae_semen_ing_14
Cuscutae semen,Cuscutae_semen_ing_55
Cuscutae semen,Cuscutae_semen_ing_85
Lilii bulbus,Lilii_bulbus_ing_45
Lilii bulbus,Lilii_bulbus_ing_73
Lilii bulbus,Lilii_bulbus_ing_28
Lilii bulbus,Lilii_bulbus_ing_73
Lilii bulbus,Lilii_bulbus_ing_85
Lilii bulbus,Lilii_bulbus_ing_45
Lilii bulbus,Lilii_bulbus_ing_6
Lilii bulbus,Lilii_bulbus_ing_28
Lilii bulbus,Lilii_bulbus_ing_1
Lilii bulbus,Lilii_bulbus_ing_86
Crataegi fructus,Crataegi_fructus_ing_41
Crataegi fructus,Crataegi_fructus_ing_22
Crataegi fructus,Crataegi_fructus_ing_52
Crataegi fructus,Crataegi_fructus_ing_66
Crataegi fructus,Crataegi_fructus_ing_100
Crataegi fructus,Crataegi_fructus_ing_14
Astragali radix,Astragali_radix_ing_10
Astragali radix,Astragali_radix_ing_97
Astragali radix,Astragali_radix_ing_81
Astragali radix,Astragali_radix_ing_36
Astragali radix,Astragali_radix_ing_10
Astragali radix,Astragali_radix_ing_60
Astragali radix,Astragali_radix_ing_42
Astragali radix,Astragali_radix_ing_11
Astragali radix,Astragali_radix_ing_47
Astragali radix,Astragali_radix_ing_7
Astragali radix,Astragali_radix_ing_93
Astragali radix,Astragali_radix_ing_90
Astragali radix,Astragali_radix_ing_43
Astragali radix,Astragali_radix_ing_88
Astragali radix,Astragali_radix_ing_28
Codonopsis radix,Codonopsis_radix_ing_13
Codonopsis radix,Codonopsis_radix_ing_80
Codonopsis radix,Codonopsis_radix_ing_89
Codonopsis radix,Codonopsis_radix_ing_57
Codonopsis radix,Codonopsis_radix_ing_61
Codonopsis radix,Codonopsis_radix_ing_99
Codonopsis radix,Codonopsis_radix_ing_26
Codonopsis radix,Codonopsis_radix_ing_67
Codonopsis radix,Codonopsis_radix_ing_35
Rehmanniae radix,Rehmanniae_radix_ing_45
Rehmanniae radix,Rehmanniae_radix_ing_65
Rehmanniae radix,Rehmanniae_radix_ing_13
Rehmanniae radix,Rehmanniae_radix_ing_90
Rehmanniae radix,Rehmanniae_radix_ing_1
Rehmanniae radix,Rehmanniae_radix_ing_20
Rehmanniae radix,Rehmanniae_radix_ing_7
Rehmanniae radix,Rehmanniae_radix_ing_15
Rehmanniae radix,Rehmanniae_radix_ing_55
Rehmanniae radix,Rehmanniae_radix_ing_74
Rehmanniae radix,Rehmanniae_radix_ing_68
Rehmanniae radix,Rehmanniae_radix_ing_48
Corni fructus,Corni_fructus_ing_81
Corni fructus,Corni_fructus_ing_43
Corni fructus,Corni_fructus_ing_83
Corni fructus,Corni_fructus_ing_62
Corni fructus,Corni_fructus_ing_59
Corni fructus,Corni_fructus_ing_26
Corni fructus,Corni_fructus_ing_66
Corni fructus,Corni_fructus_ing_46
Corni fructus,Corni_fructus_ing_35
Corni fructus,Corni_fructus_ing_52
Corni fructus,Corni_fructus_ing_67
Corni fructus,Corni_fructus_ing_24
Corni fructus,Corni_fructus_ing_55
Corni fructus,Corni_fructus_ing_94
Corni fructus,Corni_fructus_ing_86
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_87
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_73
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_58
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_51
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_64
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_37
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_12
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_39
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_23
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_64
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_48
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_93
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_83
Dioscoreae rhizoma,Dioscoreae_rhizoma_ing_45
Alismatis rhizoma,Alismatis_rhizoma_ing_24
Alismatis rhizoma,Alismatis_rhizoma_ing_16
Alismatis rhizoma,Alismatis_rhizoma_ing_67
Alismatis rhizoma,Alismatis_rhizoma_ing_36
Alismatis rhizoma,Alismatis_rhizoma_ing_65
Alismatis rhizoma,Alismatis_rhizoma_ing_85
Alismatis rhizoma,Alismatis_rhizoma_ing_6
Alismatis rhizoma,Alismatis_rhizoma_ing_70
Alismatis rhizoma,Alismatis_rhizoma_ing_88
Alismatis rhizoma,Alismatis_rhizoma_ing_60
Alismatis rhizoma,Alismatis_rhizoma_ing_41
Alismatis rhizoma,Alismatis_rhizoma_ing_41
Alismatis rhizoma,Alismatis_rhizoma_ing_13
Alismatis rhizoma,Alismatis_rhizoma_ing_79
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_25
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_40
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_46
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_77
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_47
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_37
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_71
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_13
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_78
Phellodendri chinensis cortex,Phellodendri_chinensis_cortex_ing_59
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_41
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_76
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_61
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_15
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_77
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_7
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_32
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_15
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_89
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_95
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_27
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_44
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_62
Anemarrhenae rhizoma,Anemarrhenae_rhizoma_ing_39
Gardeniae fructus,Gardeniae_fructus_ing_72
Gardeniae fructus,Gardeniae_fructus_ing_51
Gardeniae fructus,Gardeniae_fructus_ing_92
Gardeniae fructus,Gardeniae_fructus_ing_33
Gardeniae fructus,Gardeniae_fructus_ing_14
Gardeniae fructus,Gardeniae_fructus_ing_13
Gardeniae fructus,Gardeniae_fructus_ing_71
Gardeniae fructus,Gardeniae_fructus_ing_61
Gardeniae fructus,Gardeniae_fructus_ing_99
Gardeniae fructus,Gardeniae_fructus_ing_95
Carthami flos,Carthami_flos_ing_23
Carthami flos,Carthami_flos_ing_64
Carthami flos,Carthami_flos_ing_38
Carthami flos,Carthami_flos_ing_78
Carthami flos,Carthami_flos_ing_83
Carthami flos,Carthami_flos_ing_15
Carthami flos,Carthami_flos_ing_95
Carthami flos,Carthami_flos_ing_82
Carthami flos,Carthami_flos_ing_18
Carthami flos,Carthami_flos_ing_43
Carthami flos,Carthami_flos_ing_89
Leonuri herba,Leonuri_herba_ing_88
Leonuri herba,Leonuri_herba_ing_38
Leonuri herba,Leonuri_herba_ing_96
Leonuri herba,Leonuri_herba_ing_98
Leonuri herba,Leonuri_herba_ing_68
Leonuri herba,Leonuri_herba_ing_65
Leonuri herba,Leonuri_herba_ing_67
Leonuri herba,Leonuri_herba_ing_8
Leonuri herba,Leonuri_herba_ing_40
Leonuri herba,Leonuri_herba_ing_1
Leonuri herba,Leonuri_herba_ing_9
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_99
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_11
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_29
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_60
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_93
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_79
Schisandrae chinensis fructus,Schisandrae_chinensis_fructus_ing_13
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_70
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_38
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_77
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_39
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_23
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_68
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_69
Chuanxiong rhizoma,Chuanxiong_rhizoma_ing_8
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_11
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_87
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_62
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_2
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_97
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_42
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_47
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_27
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_3
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_20
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_64
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_95
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_24
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_7
Curcumae longae rhizoma,Curcumae_longae_rhizoma_ing_81
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_48
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_79
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_93
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_56
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_31
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_51
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_73
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_11
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_49
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_43
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_73
Zingiberis rhizoma recens,Zingiberis_rhizoma_recens_ing_85
Prunellae spica,Prunellae_spica_ing_3
Prunellae spica,Prunellae_spica_ing_51
Prunellae spica,Prunellae_spica_ing_73
Prunellae spica,Prunellae_spica_ing_89
Prunellae spica,Prunellae_spica_ing_7
Prunellae spica,Prunellae_spica_ing_44
Prunellae spica,Prunellae_spica_ing_58
Prunellae spica,Prunellae_spica_ing_49
Prunellae spica,Prunellae_spica_ing_32
Prunellae spica,Prunellae_spica_ing_92
Chrysanthemi flos,Chrysanthemi_flos_ing_1
Chrysanthemi flos,Chrysanthemi_flos_ing_24
Chrysanthemi flos,Chrysanthemi_flos_ing_71
Chrysanthemi flos,Chrysanthemi_flos_ing_50
Chrysanthemi flos,Chrysanthemi_flos_ing_100
Chrysanthemi flos,Chrysanthemi_flos_ing_32
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_56
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_32
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_43
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_77
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_26
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_63
Lonicerae japonicae flos,Lonicerae_japonicae_flos_ing_26
Forsythiae fructus,Forsythiae_fructus_ing_38
Forsythiae fructus,Forsythiae_fructus_ing_53
Forsythiae fructus,Forsythiae_fructus_ing_49
Forsythiae fructus,Forsythiae_fructus_ing_52
Forsythiae fructus,Forsythiae_fructus_ing_90
Forsythiae fructus,Forsythiae_fructus_ing_83
Forsythiae fructus,Forsythiae_fructus_ing_14
Forsythiae fructus,Forsythiae_fructus_ing_66
Forsythiae fructus,Forsythiae_fructus_ing_76
Forsythiae fructus,Forsythiae_fructus_ing_94
Forsythiae fructus,Forsythiae_fructus_ing_27
Forsythiae fructus,Forsythiae_fructus_ing_6
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_87
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_71
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_30
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_79
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_28
Sophorae flavescentis radix,Sophorae_flavescentis_radix_ing_74
Trichosanthis radix,Trichosanthis_radix_ing_42
Trichosanthis radix,Trichosanthis_radix_ing_68
Trichosanthis radix,Trichosanthis_radix_ing_59
Trichosanthis radix,Trichosanthis_radix_ing_41
Trichosanthis radix,Trichosanthis_radix_ing_48
Trichosanthis radix,Trichosanthis_radix_ing_74
Trichosanthis radix,Trichosanthis_radix_ing_23
Trichosanthis radix,Trichosanthis_radix_ing_46
Trichosanthis radix,Trichosanthis_radix_ing_50
Trichosanthis radix,Trichosanthis_radix_ing_22
Platycodonis radix,Platycodonis_radix_ing_38
Platycodonis radix,Platycodonis_radix_ing_37
Platycodonis radix,Platycodonis_radix_ing_99
Platycodonis radix,Platycodonis_radix_ing_70
Platycodonis radix,Platycodonis_radix_ing_70
Platycodonis radix,Platycodonis_radix_ing_32
Platycodonis radix,Platycodonis_radix_ing_12
Platycodonis radix,Platycodonis_radix_ing_45
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_69
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_74
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_18
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_32
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_87
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_10
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_89
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_94
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_86
Aconiti lateralis preparata radix,Aconiti_lateralis_preparata_radix_ing_28
Aucklandiae radix,Aucklandiae_radix_ing_44
Aucklandiae radix,Aucklandiae_radix_ing_59
Aucklandiae radix,Aucklandiae_radix_ing_21
Aucklandiae radix,Aucklandiae_radix_ing_39
Aucklandiae radix,Aucklandiae_radix_ing_84
Aucklandiae radix,Aucklandiae_radix_ing_51
Aucklandiae radix,Aucklandiae_radix_ing_91
Aucklandiae radix,Aucklandiae_radix_ing_17
Aucklandiae radix,Aucklandiae_radix_ing_89
Aucklandiae radix,Aucklandiae_radix_ing_94
Aucklandiae radix,Aucklandiae_radix_ing_39
Aucklandiae radix,Aucklandiae_radix_ing_18
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_22
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_57
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_76
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_11
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_100
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_39
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_38
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_31
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_47
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_88
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_3
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_81
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_36
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_27
Citri reticulatae pericarpium,Citri_reticulatae_pericarpium_ing_98
Nelumbinis semen,Nelumbinis_semen_ing_8
Nelumbinis semen,Nelumbinis_semen_ing_78
Nelumbinis semen,Nelumbinis_semen_ing_85
Nelumbinis semen,Nelumbinis_semen_ing_2
Nelumbinis semen,Nelumbinis_semen_ing_93
Nelumbinis semen,Nelumbinis_semen_ing_94
