herb ,efficacy
H0266,Clear heat 
Zhi Wu Zhu Yu,Get angry  
Zhi Wu Zhu Yu,Dispel cold  
Zhi Wu Zhu Yu,Analgesic
Zhi Wu Zhu Yu,Wenzhong  
Zhi Wu Zhu Yu,Dampness 
Zhi Wu Zhu Yu,Soothing the liver 
Duan Hua Rui shi,Huayu 
Duan Hua Rui shi,Hemostasis 
H0934,Break up 
H0934,Diarrhea 
H0934,Reduce swelling 
H0934,Drink by drink 
H0949,Nourish blood 
H0949,Cool blood  
H0949,Soothe the nerves 
H0949,Analgesic
H0949,Invigorate blood 
H0949,Eliminate carbuncle 
H0949,Remove blood stasis 
H0949,Menstruation
Wei Gen,Anti-vomiting 
Wei Gen,Clear heat 
Wei Gen,Shengjin 
Wei Gen,Get rid of trouble
H0548,Shengjin 
H0548,Quench thirst 
H0954,Diuretic
H0954,Clear heat 
H0954,Get rid of trouble
Yang Ru Gen,Cool blood  
Yang Ru Gen,Hemostasis 
Yang Ru Gen,Purge 
Yang Ru Gen,Detoxify 
Yang Ru Gen,Insecticide 
H1147,Water utilization
H1147,Clear heat 
H1147,Detoxify 
H1147,Tonglin
H0924,Get angry  
H0924,Kanaka 
H0924,Reduce swelling 
H0924,Gyozui 
Duan E Guan Shi,Impotence  
Duan E Guan Shi,Warm the lungs 
Duan E Guan Shi,Breastfeeding 
Wu Mei Tan,An round 
Wu Mei Tan,Constrict the lungs 
Wu Mei Tan,Astringent intestines 
Wu Mei Tan,Shengjin 
Chong Wei Zi,Eyesight 
Chong Wei Zi,Invigorate blood 
Chong Wei Zi,Liver cleansing 
Chong Wei Zi,Menstruation
H1245,Phlegm 
H1245,Stop cough 
H1245,Diarrhea 
H1245,Lower breath 
H0729,Clear heat 
H0729,Detoxify 
Tian Xing Ren,Run intestines
Tian Xing Ren,Laxative
Tian Xing Ren,Nourish the lungs
Tian Xing Ren,Cough  
Tian Xing Ren,Asthma 
H0067,Solid essence 
H0067,Stop band 
H0067,Astringent intestines 
H0067,Urinary contraction 
H0378,Pain relief 
H0378,Scatter blood 
H0378,Hemostasis 
H0709,Robbery 
H0709,Cut malaria 
Mai Ya Qu,Strengthen the spleen
Mai Ya Qu,Appetizer 
Mai Ya Qu,Swelling  
Mai Ya Qu,Digestion 
Mai Ya Qu,Qi 
Mai Ya Qu,Breastfeeding 
H1076,Cough  
H1076,Analgesic
H1076,Purging fire 
H1076,Nourish the lungs
H1076,Yiqi 
H1076,Urgency 
H1076,Make up
H1076,Detoxify 
H1076,Reconcile all medicines
H0967,Dampness  
H0967,Yellowing 
H0967,Invigorate blood 
H0967,Reduce swelling 
H0967,Clear heat 
H0967,Detoxify 
DAN DOU CHI,Publish 
DAN DOU CHI,Xuan Yu 
DAN DOU CHI,Untie muscles 
DAN DOU CHI,Get rid of trouble
Hai Fu Shi,Resolve phlegm 
Hai Fu Shi,Break up 
Hai Fu Shi,Cleans the lungs 
Hai Fu Shi,Soft 
H1044,Cool blood  
H1044,Dampness  
H1044,Hemostasis 
H1044,Reduce swelling 
H1044,Clear heat 
H1044,Detoxify 
Lu Dou Yi,Water utilization
Lu Dou Yi,Cool off  
Lu Dou Yi,Clear heat 
Lu Dou Yi,Detoxify 
Lu Dou Yi,Retreat 
H0107,Nourish the heart 
H0107,Soothe the nerves 
H0107,Hold sweat 
H0107,Run intestines
H0107,Laxative
Ce Bo,Ufa 
Ce Bo,Cool blood  
Ce Bo,Hemostasis 
Ce Bo,Germination 
H0436,Heat dissipation 
H0436,Clear leader 
H0436,Soothing wind 
H0436,Rash 
H0130,Insecticide 
H0130,Analgesic
H0130,Invigorate blood 
H0130,Reduce swelling 
H0130,Rheumatism 
H0130,Detoxify 
H0130,Tongluo 
H1009,Dispel cold  
H1009,Analgesic
H1009,Dispel the wind  
H1009,Shengshi 
Chao Wu Ling Zhi,Huayu 
Chao Wu Ling Zhi,Analgesic
Chao Wu Ling Zhi,Hemostasis 
Chao Wu Ling Zhi,Invigorate blood 
Chao Wu Ling Zhi,Depletion 
Chao Wu Ling Zhi,Detoxify 
H0594,Astringent 
H0594,Hold sweat 
H0594,Sore 
H0594,Constrict the lungs 
H0594,Antidiarrheal 
H0594,Hemostasis 
H0594,Astringent intestines 
H0594,Reduce fire 
H0744,Raise Yang Qi 
H0744,Soothing the liver 
H0744,Solution table 
H0744,Depression 
H0744,Fever 
Jiao Zhi Zi,Cool blood  
Jiao Zhi Zi,Dampness  
Jiao Zhi Zi,Purging fire 
Jiao Zhi Zi,Clear heat 
Jiao Zhi Zi,Detoxify 
Jiao Zhi Zi,Get rid of trouble
Gan Jiang,Kaoru  
Gan Jiang,Huiyang 
Gan Jiang,Dispel cold  
Gan Jiang,Wenzhong  
Gan Jiang,Warm the lungs 
Gan Jiang,Tongmai
H0437,Resuscitate 
H0437,Sanyu
H0437,Pi Hui
H0437,Tongqiao 
H0176,Help Yang 
H0176,convergence 
H0176,Hemostasis 
H0176,Warm the kidney 
Jiu Cai Zi,Solid essence 
Jiu Cai Zi,Impotence  
Jiu Cai Zi,Nourish the liver 
Jiu Cai Zi,Tonifying the kidney 
Qian Cao,Cool blood  
Qian Cao,Huayu 
Qian Cao,Hemostasis 
Qian Cao,Invigorate blood 
H1217,Resolve phlegm 
H1217,Appetizer 
H1217,Shengjin 
H1217,Soothing the liver 
H1217,Depression 
H0916,Insecticide 
H0916,Digestion 
H0916,Wenzhong  
H0916,Dehumidification
H0907,Solid essence 
H0907,convergence 
H0907,Hemostasis 
H0907,Urinary contraction 
H1200,Cool blood  
H1200,Diuretic
H1200,Hemostasis 
H1200,Clear heat 
H1200,Shengjin 
H1200,Tonglin
Man Jing Zi Tan,Heat dissipation 
Man Jing Zi Tan,Clear leader 
Man Jing Zi Tan,Soothing wind 
H1056,Solid essence 
H1056,Eyesight 
H1056,Tonifying the kidney 
H1056,Urinary contraction 
H1056,Nourish the liver 
H1164,Dehumidification 
H1164,Clear heat 
H1164,Li Qi 
H1164,Relieve heat 
H0088,Break up 
H0088,Analgesic
H0088,Li Qi 
H0205,Purging fire 
H0205,Clear heat 
H0205,Dampness 
H0205,Detoxify 
E JIAO,Hemostasis 
E JIAO,Moisturize  
E JIAO,Nourish yin 
E JIAO,Tonic 
H0664,Cool blood  
H0664,Hemostasis 
H0664,Reduce swelling 
H0664,Remove blood stasis 
Tian Kui Zi,Water utilization
Tian Kui Zi,Break up 
Tian Kui Zi,Reduce swelling 
Tian Kui Zi,Clear heat 
Tian Kui Zi,Detoxify 
Tian Kui Zi,Tonglin
H0757,Constrict the lungs 
H0757,Analgesic
H0757,Astringent intestines 
Dang Gui Wei,Analgesic
Dang Gui Wei,Invigorate blood 
Dang Gui Wei,Moisturize  
Dang Gui Wei,Slippery bowel 
Dang Gui Wei,Tonic 
Dang Gui Wei,Menstruation
Dang Gui Wei,Tongluo 
H0647,Dampness  
H0647,sweat
H0647,Wanaka 
H0647,Solution table 
H0446,Resolve phlegm 
H0446,Dispel cold  
H0446,Anti-vomiting 
H0446,Cough  
H0446,Solution table 
H0446,Inverse reduction 
H0778,Consignment 
H0778,Pus
H0778,Insecticide 
H0778,disinfect 
Mu Dan Pi Tan,Cool blood  
Mu Dan Pi Tan,Huayu 
Mu Dan Pi Tan,Invigorate blood 
Mu Dan Pi Tan,Clear heat 
Zong Lv Tan,convergence 
Zong Lv Tan,Hemostasis 
H0636,Impotence  
H0636,Warm the kidney 
H0636,Dispel cold 
H0636,Dehumidification
H0316,Diuretic
H0316,Hemostasis 
H0316,Remove blood stasis 
H0419,Lag 
H0419,Huayu 
H0419,Chemical product 
H0419,Digestion 
Pao Jiang,Antidiarrheal 
Pao Jiang,Hemostasis 
Pao Jiang,Wenjing 
Pao Jiang,Warm the spleen 
H0764,Diuretic
H0764,Pus
H0764,Eliminate carbuncle 
H0764,Clear heat 
H0764,Detoxify 
H0764,Tonglin
H0990,Help Yang 
H0990,Wenzhong  
H0990,Warm the kidney 
H0990,Inverse reduction 
San Na,Analgesic
San Na,Digestion 
San Na,Wenzhong  
San Na,Qi 
San Na,Dehumidification
H0490,nausea 
H0490,Hematuria 
H0490,Treat blood in the stool 
H0490,Diabetes 
H0490,Chancre 
H0490,Carbuncle 
H0490,Blood collapse 
Pian Jiang Huang,Analgesic
Pian Jiang Huang,Broken blood  
Pian Jiang Huang,Qi 
Pian Jiang Huang,Pass through 
Ken Shin Kyoku,Strengthen the spleen
Ken Shin Kyoku,Dehumidification 
Ken Shin Kyoku,Digestion 
Ken Shin Kyoku,Li Qi 
Ken Shin Kyoku,Solution table 
Jian Can Yong,Liyan 
Jian Can Yong,Resolve phlegm 
Jian Can Yong,Break up 
Jian Can Yong,Antispasmodic 
Jian Can Yong,Dispel the wind  
Jian Can Yong,Detoxify 
Sha Ren Ke,Dehumidification 
Sha Ren Ke,Fetus 
Sha Ren Ke,Kanaka 
Sha Ren Ke,Appetizer 
Sha Ren Ke,Antidiarrheal 
Sha Ren Ke,Warm the spleen 
Sha Ren Ke,Qi 
H0955,Analgesic
H0955,Invigorate blood 
H0955,Moisturize  
H0955,Slippery bowel 
H0955,Tonic 
H0955,Menstruation
H0980,Cool blood  
H0980,Sore 
H0980,Hemostasis 
H0980,Reduce swelling 
H0980,Clear heat 
H0980,Detoxify 
H0375,Purging fire 
H0375,Clear heat 
H0375,Dampness 
H0375,Detoxify 
Shu Mi,And stomach
Shu Mi,Soothe the nerves 
Shu Mi,Sore 
Shu Mi,Dispel the wind  
Shu Mi,Detoxify 
Shu Mi,Dehumidification
Ba Yue Zhe,Diuretic
Ba Yue Zhe,Analgesic
Ba Yue Zhe,Invigorate blood 
Ba Yue Zhe,Li Qi 
Ba Yue Zhe,Shugan 
Ba Yue Zhe,Get rid of trouble
H0592,Analgesic
H0592,Dispel the wind  
H0592,Tongluo 
H0592,Dehumidification
H0330,Solid essence 
H0330,Stop band 
H0330,Antidiarrheal 
H0330,Tonifying the kidney 
H0330,Dampness
H0330,Nourish the spleen  
H0432,Liyan 
H0432,Break up 
H0432,Eliminate blood stasis 
H0432,Clear heat 
H0432,Expectorant  
H0432,Detoxify 
H0605,Solid 
H0605,Ning Xin
H0605,Soothe the nerves 
H0605,convergence 
H0605,Shengjin 
H0605,Yiqi 
H0138,Dampness  
H0138,Reduce swelling 
H0138,Clear heat 
H0138,Tonglin
Ji Chang,Diuretic
Ji Chang,Stop
H0090,Pus
H0090,Analgesic
H0090,Reduce swelling 
H0090,Dispel the wind  
H0090,Tongqiao 
H0090,Dehumidification
H1019,Cough  
H1019,Nasal orifice 
H0686,Anti-vomiting 
H0686,Eliminate phlegm 
H0686,Gyozui 
H0686,Lower breath 
H0196,Resolve phlegm 
H0196,Asthma 
H0196,Cough  
H0196,Cleans the lungs 
Ai Ye Tan ,Dispel cold  
Ai Ye Tan ,Analgesic
Ai Ye Tan ,Hemostasis 
Ai Ye Tan ,Wenjing 
Duan Ha Fen ,Dingchuan 
Duan Ha Fen ,Stop cough 
Duan Ha Fen ,Tonifying the kidney 
Duan Ha Fen ,Nourish the lungs 
Tu Bai Zhu,Strengthen the spleen
Tu Bai Zhu,Water utilization
Tu Bai Zhu,Fetus 
Tu Bai Zhu,Antiperspirant
Tu Bai Zhu,Dampness 
Tu Bai Zhu,Yiqi 
Jin Qian Bai Hua She,Surely shocked 
Jin Qian Bai Hua She,Antispasmodic 
Jin Qian Bai Hua She,Dispel the wind  
Jin Qian Bai Hua She,Tongluo 
Sheng Chuan Wu,Dispel cold  
Sheng Chuan Wu,Analgesic
Sheng Chuan Wu,Wenjing 
Sheng Chuan Wu,Dispel the wind  
Sheng Chuan Wu,Dehumidification
H0855,Resolve phlegm 
H0855,Break up 
H0855,Cough  
H0855,Reduce swelling 
H0855,Nourish the lungs
H0855,Clear heat 
H0456,Help Yang 
H0456,Asthma 
H0456,Antidiarrheal 
H0456,Warm the spleen 
H0456,Nai Qi 
H0456,Tonifying the kidney 
H0598,Huayu 
H0598,Analgesic
H0598,Hemostasis 
H0598,Invigorate blood 
H0598,Depletion 
H0598,Detoxify 
H0574,Strengthen the spleen
H0574,Wenzhong  
H0574,Dampness 
H0574,Qi 
H0784,Cool blood  
H0784,Invigorate blood 
H0784,Clear heat 
H0784,Remove blood stasis 
Zhu Fu Ling,Strengthen the spleen
Zhu Fu Ling,Water utilization
Zhu Fu Ling,And stomach
Zhu Fu Ling,Ning Xin
Zhu Fu Ling,Soothe the nerves 
Zhu Fu Ling,Wetting 
H0004,Dehumidification 
H0004,And stomach
H0004,Heat up 
H0004,Solution table 
H0379,Diuretic
H0379,Insecticide 
H0379,Antipruritic
H0379,Tonglin
H0834,Strengthen the spleen
H0834,Water utilization
H0834,Eyesight 
H0834,Liver cleansing 
H0834,Nourish the kidney 
Hong Tang,Huayu 
Hong Tang,And blood 
Hong Tang,Soothe the liver
Hong Tang,Make up
Hong Tang,Menstruation
YI MU CAO,Diuretic
YI MU CAO,Invigorate blood 
YI MU CAO,Reduce swelling 
YI MU CAO,Menstruation
H0197,Water utilization
H0197,sweat
H0197,Xuanfei
H0197,Asthma 
H0197,Dispel cold  
H0197,Reduce swelling 
H0021,Nourish blood 
H0021,Heying 
H0021,Pinggan 
H0021,Yin 
H0021,Analgesic
H0021,Urgency 
H0685,Cool blood  
H0685,Dampness  
H0685,Hemostasis 
H0685,Reduce swelling 
H0685,Clear heat 
H0685,Detoxify 
H0651,Resolve phlegm 
H0651,Wide chest 
H0651,Li Qi 
H0651,Inverse reduction 
H0108,Insecticide 
H0108,Treatment of ringworm 
Zhi Da Huang ,Cool blood  
Zhi Da Huang ,Attack and accumulation 
Zhi Da Huang ,Purging fire 
Zhi Da Huang ,Damp heat 
Zhi Da Huang ,Remove blood stasis 
Zhi Da Huang ,Detoxify 
Bai Ying,Reduce swelling 
Bai Ying,Clear heat 
Bai Ying,Detoxify 
H0562,Sanyu
H0562,Relieve eye pain 
H0562,Invigorate blood 
H0562,Reduce swelling 
H0562,Dispel the wind  
H0562,Shujin 
H0562,Detoxify 
H0562,Dehumidification
Bai Cao Shuang,Hemostasis 
Bai Cao Shuang,Depletion 
Bai Cao Shuang,Clear heat 
Bai Cao Shuang,Detoxify 
H0359,Strengthen the spleen
H0359,Dehumidification 
H0359,Wanaka 
H0359,Cool off  
Hai Ma,Impotence  
Hai Ma,Break up 
Hai Ma,Reduce swelling 
Hai Ma,Tonifying the kidney 
H1138,Pus
H1138,Invigorate blood 
H1138,Clear heat 
H1138,Detoxify 
H0948,Resolve phlegm 
H0948,Surely shocked 
H0948,Clear the fire 
H0948,Extinguish the wind 
Gan Chan Pi,Water utilization
Gan Chan Pi,Swelling  
Gan Chan Pi,Clear heat 
Gan Chan Pi,Detoxify 
H1139,Help Yang 
H1139,Gas 
H1139,sweat
H1139,Wenjing 
H1139,Untie muscles 
H1139,Tongmai
H0968,Analgesic
H0968,Dispel the wind  
H0968,Qi 
H0968,Dehumidification
Sheng Huang Qi,Diuretic
Sheng Huang Qi,Solid watch 
Sheng Huang Qi,Consignment 
Sheng Huang Qi,Sore 
Sheng Huang Qi,Antiperspirant
Sheng Huang Qi,Invigorate
H1015,Fetus 
H1015,Strong bones 
H1015,Nourish the liver 
H1015,Tonifying the kidney 
H0270,Liyan 
H0270,And stomach
H0270,Sore 
H0270,Nourish the lungs
H0270,Muscle growth
H0270,Soothing the liver 
Duan Zi Shiying,Soothe the nerves 
Duan Zi Shiying,Warm palace 
Duan Zi Shiying,Zhenxin 
Duan Zi Shiying,Inverse reduction 
H0166,Invigorate blood 
H0166,Reduce swelling 
H0166,Clear heat 
H0166,Detoxify 
H0258,Cool blood  
H0258,Hemostasis 
H0258,Nourish the liver 
H0258,Tonifying the kidney 
Hong Fen,Detoxification 
Hong Fen,Purulent 
Hong Fen,Insecticide 
Hong Fen,Dampness 
Hong Fen,Muscle growth
Hong Fen,Rot 
H1061,Nourish yin 
H1061,Soothe the nerves 
H1061,Nourish the lungs
H1061,Pure heart 
Niu Bang,Liyan 
Niu Bang,Xuanfei
Niu Bang,Heat dissipation 
Niu Bang,Break up 
Niu Bang,Reduce swelling 
Niu Bang,Soothing wind 
Niu Bang,Detoxify 
Niu Bang,Rash 
H0963,Dampness  
H0963,Invigorate blood 
H0963,Clear heat 
H0963,Solution table 
H0161,Solid 
H0161,Soothe the nerves 
H0161,Pinggan 
H0161,convergence 
H0161,Qianyang 
H0161,Stun
Mu Jin Pi,Dampness  
Mu Jin Pi,Insecticide 
Mu Jin Pi,Antipruritic
Mu Jin Pi,Clear heat 
H1175,Water utilization
H1175,Invigorate blood 
H1175,Dispel the wind  
H1175,Detoxify 
Jing Jie Sui Tan,Astringent 
Jing Jie Sui Tan,Hemostasis 
H0370,Analgesic
H0370,Invigorate blood 
H0370,Reduce swelling 
H0370,Muscle growth
H1066,Clear heat 
H1066,Heat up 
Liu Yue Xue,Dampness  
Liu Yue Xue,Clear heat 
Liu Yue Xue,Dispel the wind  
Liu Yue Xue,Detoxify 
Jiao Shan Zha,Lag 
Jiao Shan Zha,Huayu 
Jiao Shan Zha,Chemical product 
Jiao Shan Zha,Digestion 
Gui Jia Jiao,Nourish blood 
Gui Jia Jiao,Hemostasis 
Gui Jia Jiao,Nourish yin 
H0831,Li Qiao 
H0831,Surely shocked 
H0831,Clear heat 
H0831,Phlegm 
H0103,Dispel cold  
H0103,Analgesic
H0103,Hemostasis 
H0103,Wenjing 
H0134,Break up 
H0134,Analgesic
H0134,Dispel cold 
H0134,Qi 
Zi Nao Sha,Depletion 
Zi Nao Sha,Break blood stasis 
Zi Nao Sha,Corrosion 
Zi Nao Sha,Soft 
H1030,Antipruritic
H1030,Analgesic
H1030,Dispel the wind  
H1030,Shengshi 
H1030,Antispasmodic 
H1030,Solution table 
H0932,Invigorate blood 
H0932,Dispel the wind  
H0932,Detoxify 
H0623,Cool blood  
H0623,Open knot 
H0623,Dissipate 
H0623,Invigorate blood 
H0623,Remove blood stasis 
H0623,Detoxify 
Huang Jiu,Invigorate blood 
Huang Jiu,benefit  
Huang Jiu,Tongluo 
Huang Jiu,Dehumidification
H0053,Clear heat 
H0053,Detoxify 
Duan Han Shui Shi,Li Qiao 
Duan Han Shui Shi,Reduce swelling 
Duan Han Shui Shi,Clear heat 
Duan Han Shui Shi,Reduce fire 
H0127,Hemostasis 
H0127,Treat traumatic bleeding 
H0127,Anti-inflammatory
H0127,Reduce swelling 
H0179,Strong bones 
H0179,Hemostasis 
H0179,Rheumatism 
Ci Zhu Wan,Soothe the nerves 
Ci Zhu Wan,Lead lag 
Ci Zhu Wan,Digestion 
Ci Zhu Wan,Important town 
Chao Bai Shao,Nourish blood 
Chao Bai Shao,Heying 
Chao Bai Shao,Pinggan 
Chao Bai Shao,Yin 
Chao Bai Shao,Analgesic
Chao Bai Shao,Urgency 
Jiao Gu Ya,Strengthen the spleen
Jiao Gu Ya,Wanaka 
Jiao Gu Ya,Appetizer 
Jiao Gu Ya,Digestion 
H0750,Asthma 
H0750,Constrict the lungs 
H0750,Analgesic
H0750,Invigorate blood 
Cha,Nourish the stomach
Cha,Nourish blood 
Cha,Dispel cold  
Cha,Yiqi 
H0031,Antidiarrheal 
H0031,Hemostasis 
H0031,Wenjing 
H0031,Warm the spleen 
Bian Dou Hua,Dehumidification 
Bian Dou Hua,Wanaka 
Bian Dou Hua,Qingshu 
H0650,Qingshu 
H0650,Soothing the liver 
H0650,Solution table 
H0650,Depression 
H0650,Fever 
Fu Long Gan,Anti-vomiting 
Fu Long Gan,Antidiarrheal 
Fu Long Gan,Hemostasis 
Fu Long Gan,Wenzhong  
H0323,Resolve phlegm 
H0323,Dissipate wind heat 
H0323,Lower breath 
Zhi Gui Jia,Break up 
Zhi Gui Jia,Clear heat 
Zhi Gui Jia,Nourish yin 
Zhi Gui Jia,Qianyang 
Zhi Gui Jia,Extinguish the wind 
Zhi Gui Jia,Soft 
H0246,Water utilization
H0246,sweat
H0246,Xuanfei
H0246,Asthma 
H0246,Dispel cold  
H0246,Cough  
H0246,Reduce swelling 
H0246,Nourish the lungs
H0408,Cut malaria 
H0408,Insecticide 
H0408,Depletion 
H0408,Gyozui 
H0408,Lower breath 
H0688,Cool blood  
H0688,Break up 
H0688,Clear heat 
H0688,Nourish yin 
H0688,Detoxify 
H0688,Reduce fire 
H0336,Dampness  
H0336,Clear deficiency and heat 
H0336,Rheumatism 
H0336,Shujin 
H0336,Yellowing 
H0336,Tongluo 
H0902,Astringent 
H0902,Stop band 
H0902,Antidiarrheal 
H0902,Hemostasis 
H0902,Clear heat 
H0902,Dampness 
H0973,Cool blood  
H0973,Clear heat 
H0973,Nourish yin 
H0973,Tonic 
Zhu Sha,Soothe the nerves 
Zhu Sha,Eyesight 
Zhu Sha,Clear heat 
Zhu Sha,Detoxify 
Zhu Sha,Zhenxin 
Hong Cha,Nourish the stomach
Hong Cha,Nourish blood 
Hong Cha,Dispel cold  
Hong Cha,Yiqi 
Xie Wei,Challenge 
Xie Wei,Break up 
Xie Wei,Antispasmodic 
Xie Wei,Analgesic
Xie Wei,Dispel the wind  
Xie Wei,Tongluo 
Lian Zi Rou,Nourish the heart 
Lian Zi Rou,Solid essence 
Lian Zi Rou,Soothe the nerves 
Lian Zi Rou,Antidiarrheal 
Lian Zi Rou,Tonifying the kidney 
Lian Zi Rou,Nourish the spleen  
HOU PO HUA,Dehumidification 
HOU PO HUA,Li Qi 
H1099,Surely shocked 
H1099,Pinggan 
H1099,Clear heat 
H1099,Extinguish the wind 
H0628,Sharp joints
H0628,Rheumatism 
H0628,Detoxify 
H0237,And blood 
H0237,Li Qi 
H0237,Depression 
H0237,Menstruation
Feng Jia Hua,Asthma 
Feng Jia Hua,Cough  
Feng Jia Hua,Analgesic
Feng Jia Hua,anesthesia
H0532,Challenge 
H0532,Sore 
H0532,Insecticide 
H0532,Hemostasis 
H0532,Reduce swelling 
H0532,Rot 
H0202,Break up 
H0202,Analgesic
H0202,Reduce swelling 
H0202,Tongluo 
H0459,Pinggan 
H0459,Eyesight 
H0459,Clear heat 
H0459,Retreat 
H0112,Get angry  
H0112,Asthma 
H0112,Kaibi 
H0112,Cough  
H0112,Run intestines
H0112,Expectorant  
Gong Lao Ye,Nourish yin 
Gong Lao Ye,Pinggan 
Gong Lao Ye,Clear heat 
Gong Lao Ye,Tonifying the kidney 
H0937,Cool blood  
H0937,Anti-spot 
H0937,Clear heat 
H0937,Detoxify 
H0289,Liyan 
H0289,Xuanfei
H0289,Heat dissipation 
H0289,Break up 
H0289,Reduce swelling 
H0289,Soothing wind 
H0289,Detoxify 
H0289,Rash 
Xian Bo He,Dissipate wind heat  
Xian Bo He,Clear leader 
Xian Bo He,Rash 
H0393,Moisturize  
H0393,Extinguish the wind 
H0393,Tonifying the kidney 
H0393,Nourish the liver 
